Parent_Level,Parent_Category,Child_Level,Child_Category,Description
1,SEMI_FINISHED,2,BILLETS_COMMERCIAL,Commercial grade steel billets for general structural applications
1,SEMI_FINISHED,2,BILLETS_SBQ,Special bar quality billets for high-strength automotive and mining applications
1,SEMI_FINISHED,2,SLABS_STANDARD,Standard steel slabs for hot and cold rolling applications
1,SEMI_FINISHED,2,BILLETS_DEGASSED,Degassed steel billets for premium automotive and precision applications
1,SEMI_FINISHED,2,SLABS_DEGASSED,Degassed steel slabs for automotive and appliance manufacturing
1,FINISHED_FLAT,2,HOT_ROLLED_COIL,Hot rolled steel coils for construction and manufacturing
1,FINISHED_FLAT,2,COLD_ROLLED_COIL,Cold rolled steel coils for automotive and appliance applications
1,FINISHED_FLAT,2,PLATE,"Steel plates for heavy construction, shipbuilding, and infrastructure"
1,FINISHED_FLAT,2,GALVANIZED,Galvanized steel products for corrosion-resistant applications
1,FINISHED_LONG,2,STRUCTURAL_BEAMS,Universal beam sections for construction and infrastructure
1,FINISHED_LONG,2,STRUCTURAL_COLUMNS,Universal column sections for building and bridge construction
1,FINISHED_LONG,2,STRUCTURAL_CHANNELS,Parallel flange channels for structural framing
1,FINISHED_LONG,2,STRUCTURAL_ANGLES,Structural angles for construction and fabrication
1,FINISHED_LONG,2,RAILS_STANDARD,Standard railway track material for freight and passenger rail
1,FINISHED_LONG,2,RAILS_HEAD_HARDENED,Head-hardened rails for heavy-haul and critical infrastructure
1,FINISHED_LONG,2,SLEEPER_BAR,Steel bar for concrete sleeper manufacturing
1,FINISHED_LONG,2,REBAR,Reinforcing bar for concrete construction
1,FINISHED_LONG,2,WIRE_ROD,Wire rod for manufacturing wire products and fasteners
1,FINISHED_LONG,2,WELDED_STRUCTURAL,Welded structural products for construction applications
1,TUBE_PIPE,2,SEAMLESS_LINE_PIPE,Seamless line pipe for oil and gas transmission
1,TUBE_PIPE,2,WELDED_LINE_PIPE,Welded line pipe for pipeline infrastructure
1,TUBE_PIPE,2,OTHER_TUBE_PIPE,Other tubular products for industrial and construction applications
2,BILLETS_COMMERCIAL,3,BILLETS_COMM_LOW_CARBON,
2,BILLETS_COMMERCIAL,3,BILLETS_COMM_MEDIUM_CARBON,
2,BILLETS_SBQ,3,BILLETS_SBQ_AUTOMOTIVE,
2,BILLETS_SBQ,3,BILLETS_SBQ_MINING,
2,BILLETS_SBQ,3,BILLETS_SBQ_OIL_GAS,
2,BILLETS_DEGASSED,3,BILLETS_DEG_PREMIUM_AUTO,
2,BILLETS_DEGASSED,3,BILLETS_DEG_PRECISION,
2,SLABS_STANDARD,3,SLABS_STD_HOT_ROLLED,
2,SLABS_STANDARD,3,SLABS_STD_COLD_ROLLED,
2,SLABS_DEGASSED,3,SLABS_DEG_AUTOMOTIVE,
2,SLABS_DEGASSED,3,SLABS_DEG_APPLIANCE,
2,STRUCTURAL_BEAMS,3,UB_GRADE_300,
2,STRUCTURAL_BEAMS,3,UB_GRADE_300_PLUS,
2,STRUCTURAL_COLUMNS,3,UC_GRADE_300,
2,STRUCTURAL_COLUMNS,3,UC_GRADE_300_PLUS,
2,STRUCTURAL_CHANNELS,3,PFC_STANDARD,
2,STRUCTURAL_CHANNELS,3,PFC_HIGH_STRENGTH,
2,STRUCTURAL_ANGLES,3,ANGLES_STANDARD,
2,STRUCTURAL_ANGLES,3,ANGLES_HIGH_STRENGTH,
2,RAILS_STANDARD,3,RAILS_STD_FREIGHT,
2,RAILS_STANDARD,3,RAILS_STD_PASSENGER,
2,RAILS_HEAD_HARDENED,3,RAILS_HH_HEAVY_HAUL,
2,RAILS_HEAD_HARDENED,3,RAILS_HH_CRITICAL_INFRA,
2,SLEEPER_BAR,3,SLEEPER_BAR_COAL_WAGON,
2,SLEEPER_BAR,3,SLEEPER_BAR_GENERAL_FREIGHT,
