level_1_code,level_2_code,level_2_name,share_of_level_1,client_product,description
SEMI_FINISHED,BILLETS_COMMERCIAL,Commercial Low and Medium Carbon Billets,0.55,yes,Gemini: Baseline maintained - reflects input for rebar
SEMI_FINISHED,BILLETS_SBQ,Special Bar Quality Billets,0.25,yes,Gemini: Baseline maintained - high-strength components
SEMI_FINISHED,SLABS_STANDARD,Standard Slabs,0.15,yes,Gemini: Baseline maintained - primary integrated steelworks
SEMI_FINISHED,BILLETS_DEGASSED,Degassed Commercial Billets,0.03,yes,Gemini: Baseline maintained - very niche applications
SEMI_FINISHED,SLABS_DEGASSED,Degassed Slabs,0.02,yes,Gemini: Baseline maintained - stable
FINISHED_LONG,REBAR,Reinforcing Bar,0.30,no,Gemini: Increased +5% reflecting infrastructure boom
FINISHED_LONG,STRUCTURAL_BEAMS,Universal Beams,0.26,yes,Gemini: Slightly increased infrastructure demand
FINISHED_LONG,STRUCTURAL_COLUMNS,Universal Columns,0.15,yes,Gemini: Baseline maintained
FINISHED_LONG,STRUCTURAL_CHANNELS,Parallel Flange Channels,0.12,yes,Gemini: Baseline maintained
FINISHED_LONG,RAILS_STANDARD,Plain Carbon Rails,0.08,yes,Gemini: Increased +2% rail investment
FINISHED_LONG,OTHER_LONG_PRODUCTS,Other Long Products,0.09,yes,Gemini: Adjusted down to balance increases
FINISHED_FLAT,HOT_ROLLED_COIL,Hot Rolled Coil,0.40,no,Gemini: Baseline maintained - workhorse product
FINISHED_FLAT,COLD_ROLLED_COIL,Cold Rolled Coil,0.25,no,Gemini: Baseline maintained - white goods
FINISHED_FLAT,PLATE,Steel Plate,0.20,no,Gemini: Baseline maintained - infrastructure/mining
FINISHED_FLAT,GALVANIZED,Galvanized Products,0.15,no,Gemini: Baseline maintained - construction/agriculture
TUBE_PIPE,WELDED_STRUCTURAL,Welded Structural Hollow Sections,0.30,no,Gemini: Baseline maintained
TUBE_PIPE,SEAMLESS_LINE_PIPE,Seamless Line Pipe,0.25,no,Gemini: Baseline maintained
TUBE_PIPE,WELDED_LINE_PIPE,Welded Line Pipe,0.20,no,Gemini: Baseline maintained
TUBE_PIPE,OTHER_TUBE_PIPE,Other Tube/Pipe,0.25,no,Gemini: Baseline maintained
